,count,mean,std,min,25%,50%,75%,max
n,18.0,1933.3333333333333,1585.9678803957722,300.0,300.0,1500.0,4000.0,4000.0
arestas,18.0,1024133.8333333334,2562065.6195611856,149.0,1664.75,11003.0,44850.0,7998000.0
rodadas,18.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
media_s,18.0,0.11835335054074071,0.4051169301854054,8.688476666666641e-05,0.0003259097166666,0.0012033673166666,0.0061491476416665,1.725936824933334
desvio_s,18.0,0.03577692972041427,0.13672083586220982,3.307712541020585e-06,6.387370670079642e-05,0.00022605034281085,0.001509528660621875,0.5818745102387638
min_s,18.0,0.09313912499999996,0.31501808047452534,4.1667e-05,0.00027866674999989997,0.00100052099999995,0.00567810474999955,1.3401028749999997
max_s,18.0,0.21385038666666664,0.7568950166469747,9.845900000000211e-05,0.000731447749999925,0.0019169794999999,0.0179676982500001,3.227200707999998
densidade,18.0,0.16987313468742016,0.24026303843831406,0.00012496874218554638,0.0017589789378782824,0.00489348454525239,0.5,0.5
cv,18.0,0.26890711235097275,0.28992405246908803,0.010423868399772945,0.04948125518497668,0.2535889419605949,0.3092278277511303,1.045502554975708
tempo_ms,18.0,118.35335054074069,405.11693018540547,0.0868847666666664,0.3259097166666,1.2033673166666001,6.1491476416665005,1725.936824933334
tempo_por_aresta_us,18.0,0.2259977027463431,0.22019151118648758,0.021423855788947187,0.07263095062517669,0.16523693342166396,0.2150581525772022,0.7098694847423211
throughput_arestas_s,18.0,12696701.057003839,14728777.968711812,1408709.6593016596,4650070.466799873,6055130.333372258,13796148.500456106,46676938.54230999
modelo_teorico,18.0,12078536.212347671,30671922.698501337,3694.7395920326508,25706.894542586273,131915.98705764668,445091.27803657565,95750205.84586602
razao_empirico_teorico,18.0,1.2371437747630885e-08,7.644287097044311e-09,1.7895313862387638e-09,6.94343478968712e-09,1.1350026477091527e-08,1.7483080626825862e-08,2.7920840845767206e-08
