linguagem,caso,tamanho,n,arestas,rodadas,media_s,desvio_s,min_s,max_s,cv,densidade,tempo_por_aresta_us,throughput_arestas_s,razao_empirico_teorico
javascript,medio,pequeno,300,1651,30,0.0928 ms,0.0252 ms,0.0748 ms,0.2076 ms,0.272,0.018406,0.05619154048049667,17796273.094650015,5.778608190642699e-09
javascript,medio,medio,1500,11073,30,0.8685 ms,0.3471 ms,0.5830 ms,2.4776 ms,0.400,0.004925,0.07843842680393752,12748853.345816992,6.547448013235076e-09
javascript,medio,grande,4000,33318,30,3.6310 ms,3.3761 ms,2.3701 ms,21.2506 ms,0.930,0.002083,0.10897971566920583,9176019.535923306,8.13139511904325e-09
python,medio,pequeno,300,1706,30,0.2472 ms,0.0136 ms,0.2269 ms,0.2856 ms,0.055,0.019019,0.14491096131301287,6900789.222148378,1.497655211996917e-08
python,medio,medio,1500,10933,30,1.8482 ms,0.0774 ms,1.7149 ms,2.0907 ms,0.042,0.004862,0.1690441507362938,5915614.327052251,1.408900626134263e-08
python,medio,grande,4000,32834,30,6.9885 ms,0.3329 ms,6.5986 ms,8.1190 ms,0.048,0.002053,0.2128444539197113,4698266.652403439,1.585608915554453e-08
javascript,melhor,pequeno,300,299,30,0.1376 ms,0.1439 ms,0.0417 ms,0.8207 ms,1.046,0.003333,0.46027948717926426,2172593.017621339,2.7920840845767206e-08
javascript,melhor,medio,1500,1499,30,0.2725 ms,0.0869 ms,0.2019 ms,0.4955 ms,0.319,0.000667,0.18176655548138762,5501562.140249708,8.611046692840423e-09
javascript,melhor,grande,4000,3999,30,0.7789 ms,0.2183 ms,0.5570 ms,1.4965 ms,0.280,0.000250,0.1947754271901225,5134117.862947304,8.137831695144795e-09
python,melhor,pequeno,300,149,30,0.0869 ms,0.0033 ms,0.0843 ms,0.0985 ms,0.038,0.001661,0.5831192393736001,1714915.1193745944,2.3515802535590063e-08
python,melhor,medio,1500,749,30,0.4862 ms,0.0594 ms,0.4339 ms,0.7017 ms,0.122,0.000333,0.6491784601690254,1540408.472178254,2.049147702567784e-08
python,melhor,grande,4000,1999,30,1.4190 ms,0.0587 ms,1.3224 ms,1.5577 ms,0.041,0.000125,0.7098694847423211,1408709.6593016596,1.9768388633652996e-08
javascript,pior,pequeno,300,44850,30,0.9877 ms,0.2338 ms,0.6786 ms,1.7432 ms,0.237,0.500000,0.022022419918245262,45408270.467657104,2.658472907169762e-09
javascript,pior,medio,1500,1124250,30,30.5724 ms,8.5388 ms,16.2578 ms,59.8724 ms,0.279,0.500000,0.0271935771996145,36773389.269808024,2.573973558939872e-09
javascript,pior,grande,4000,7998000,30,171.3480 ms,46.3404 ms,126.0840 ms,329.1413 ms,0.270,0.500000,0.021423855788947187,46676938.54230999,1.7895313862387638e-09
python,pior,pequeno,300,44850,30,3.1707 ms,0.3627 ms,2.9167 ms,4.6517 ms,0.114,0.500000,0.0706951252322564,14145246.88533581,8.534079170074339e-09
python,pior,medio,1500,1124250,30,181.4874 ms,1.8918 ms,176.2550 ms,187.0960 ms,0.010,0.500000,0.1614297161070341,6194646.339692263,1.527992502922956e-08
python,pior,grande,4000,7998000,30,1725.9368 ms,581.8745 ms,1340.1029 ms,3227.2007 ms,0.337,0.500000,0.21579605212969918,4634005.071598684,1.8025411117252974e-08
