linguagem,caso,tamanho,n,arestas,rodadas,media_s,desvio_s,tempo_ms,desvio_ms
javascript,medio,pequeno,300,1651,30,8.06249333333e-05,1.91210005255e-05,0.08062493333330001,0.0191210005255
javascript,medio,medio,1500,11073,30,0.0006849000666666,0.000215963494606,0.6849000666666,0.21596349460599998
javascript,medio,grande,4000,33318,30,0.0024232429333333,0.0004806855047271,2.4232429333333,0.48068550472710003
python,medio,pequeno,300,1706,30,0.0002627499666666,6.01224710968537e-05,0.2627499666666,0.060122471096853695
python,medio,medio,1500,10933,30,0.0020279458333333,0.0001568579484572,2.0279458333333,0.1568579484572
python,medio,grande,4000,32834,30,0.0077864208,0.0006589011562882,7.7864208,0.6589011562882
javascript,melhor,pequeno,300,299,30,0.0001239208333333,0.0001296303635573,0.1239208333333,0.1296303635573
javascript,melhor,medio,1500,1499,30,0.0002318166333333,5.2350353032e-05,0.2318166333333,0.052350353032
javascript,melhor,grande,4000,3999,30,0.0006839721666666,0.0001849511629296,0.6839721666666,0.1849511629296
python,melhor,pequeno,300,149,30,7.999860000000014e-05,6.112611838621507e-06,0.07999860000000014,0.006112611838621507
python,melhor,medio,1500,749,30,0.0004488833333333,4.7017753557663176e-05,0.4488833333333,0.047017753557663175
python,melhor,grande,4000,1999,30,0.0014601375,0.0001822660532113,1.4601375,0.1822660532113
javascript,pior,pequeno,300,44850,30,0.0009933930666666,0.0004180936323424,0.9933930666666,0.4180936323424
javascript,pior,medio,1500,1124250,30,0.0252041249333333,0.0056448014040917,25.2041249333333,5.6448014040917
javascript,pior,grande,4000,7998000,30,0.1190649513333334,0.0103069151340613,119.06495133333341,10.3069151340613
python,pior,pequeno,300,44850,30,0.0038599763666666,0.0003302927335915,3.8599763666666003,0.33029273359149997
python,pior,medio,1500,1124250,30,0.1922060096333337,0.0093777858534947,192.2060096333337,9.3777858534947
python,pior,grande,4000,7998000,30,1.3876422222333331,0.02834653493855,1387.642222233333,28.34653493855
